No. inseason,Title,Directed by,Written by,Original air date [20],U.S. viewers(millions)
1,"""The Red Woman""",Jeremy Podeswa,David Benioff & D. B. Weiss,"April 24, 2016 (2016-04-24)",7.94[71]
2,"""Home""",Jeremy Podeswa,Dave Hill,"May 1, 2016 (2016-05-01)",7.29[72]
3,"""Oathbreaker""",Daniel Sackheim,David Benioff & D. B. Weiss,"May 8, 2016 (2016-05-08)",7.28[73]
4,"""Book of the Stranger""",Daniel Sackheim,David Benioff & D. B. Weiss,"May 15, 2016 (2016-05-15)",7.82[74]
5,"""The Door""",Jack Bender,David Benioff & D. B. Weiss,"May 22, 2016 (2016-05-22)",7.89[75]
6,"""Blood of My Blood""",Jack Bender,Bryan Cogman,"May 29, 2016 (2016-05-29)",6.71[76]
7,"""The Broken Man""",Mark Mylod,Bryan Cogman,"June 5, 2016 (2016-06-05)",7.80[77]
8,"""No One""",Mark Mylod,David Benioff & D. B. Weiss,"June 12, 2016 (2016-06-12)",7.60[78]
9,"""Battle of the Bastards""",Miguel Sapochnik,David Benioff & D. B. Weiss,"June 19, 2016 (2016-06-19)",7.66[79]
10,"""The Winds of Winter""",Miguel Sapochnik,David Benioff & D. B. Weiss,"June 26, 2016 (2016-06-26)",8.89[80]
