No. inseason,Title,Directed by,Written by,Original air date [20],U.S. viewers(millions)
1,"""Two Swords""",D. B. Weiss,David Benioff & D. B. Weiss,"April 6, 2014 (2014-04-06)",6.64[51]
2,"""The Lion and the Rose""",Alex Graves,George R. R. Martin,"April 13, 2014 (2014-04-13)",6.31[52]
3,"""Breaker of Chains""",Alex Graves,David Benioff & D. B. Weiss,"April 20, 2014 (2014-04-20)",6.59[53]
4,"""Oathkeeper""",Michelle MacLaren,Bryan Cogman,"April 27, 2014 (2014-04-27)",6.95[54]
5,"""First of His Name""",Michelle MacLaren,David Benioff & D. B. Weiss,"May 4, 2014 (2014-05-04)",7.16[55]
6,"""The Laws of Gods and Men""",Alik Sakharov,Bryan Cogman,"May 11, 2014 (2014-05-11)",6.40[56]
7,"""Mockingbird""",Alik Sakharov,David Benioff & D. B. Weiss,"May 18, 2014 (2014-05-18)",7.20[57]
8,"""The Mountain and the Viper""",Alex Graves,David Benioff & D. B. Weiss,"June 1, 2014 (2014-06-01)",7.17[58]
9,"""The Watchers on the Wall""",Neil Marshall,David Benioff & D. B. Weiss,"June 8, 2014 (2014-06-08)",6.95[59]
10,"""The Children""",Alex Graves,David Benioff & D. B. Weiss,"June 15, 2014 (2014-06-15)",7.09[60]
