No. inseason,Title,Directed by,Written by,Original air date [20],U.S. viewers(millions)
1,"""Winterfell""",David Nutter,Dave Hill,"April 14, 2019 (2019-04-14)",11.76[88]
2,"""A Knight of the Seven Kingdoms""",David Nutter,Bryan Cogman,"April 21, 2019 (2019-04-21)",10.29[89]
3,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,"April 28, 2019 (2019-04-28)",12.02[90]
4,"""The Last of the Starks""",David Nutter,David Benioff & D. B. Weiss,"May 5, 2019 (2019-05-05)",11.80[91]
5,"""The Bells""",Miguel Sapochnik,David Benioff & D. B. Weiss,"May 12, 2019 (2019-05-12)",12.48[92]
6,"""The Iron Throne""",David Benioff & D. B. Weiss,David Benioff & D. B. Weiss,"May 19, 2019 (2019-05-19)",13.61[93]
