No. inseason,Title,Directed by,Written by,Original air date [20],U.S. viewers(millions)
1,"""Winter Is Coming""",Tim Van Patten,David Benioff & D. B. Weiss,"April 17, 2011 (2011-04-17)",2.22[21]
2,"""The Kingsroad""",Tim Van Patten,David Benioff & D. B. Weiss,"April 24, 2011 (2011-04-24)",2.20[22]
3,"""Lord Snow""",Brian Kirk,David Benioff & D. B. Weiss,"May 1, 2011 (2011-05-01)",2.44[23]
4,"""Cripples, Bastards, and Broken Things""",Brian Kirk,Bryan Cogman,"May 8, 2011 (2011-05-08)",2.45[24]
5,"""The Wolf and the Lion""",Brian Kirk,David Benioff & D. B. Weiss,"May 15, 2011 (2011-05-15)",2.58[25]
6,"""A Golden Crown""",Daniel Minahan,Story by : David Benioff & D. B. WeissTeleplay by : Jane Espenson and David Benioff & D. B. Weiss,"May 22, 2011 (2011-05-22)",2.44[26]
7,"""You Win or You Die""",Daniel Minahan,David Benioff & D. B. Weiss,"May 29, 2011 (2011-05-29)",2.40[27]
8,"""The Pointy End""",Daniel Minahan,George R. R. Martin,"June 5, 2011 (2011-06-05)",2.72[28]
9,"""Baelor""",Alan Taylor,David Benioff & D. B. Weiss,"June 12, 2011 (2011-06-12)",2.66[29]
10,"""Fire and Blood""",Alan Taylor,David Benioff & D. B. Weiss,"June 19, 2011 (2011-06-19)",3.04[30]
